"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"p0633",228.537694610203,1.08328391750413,0.213848981891893,5.06564916943006,4.0701090971567e-07,1.07258525693907e-06
"p0634",701.432193226207,-1.19401838161205,0.139096206423986,-8.58411895125667,9.15352216826099e-18,4.15553705514857e-17
"p0637",1740.61136084336,1.70847230422029,0.0970369796088516,17.6064043945618,2.19982793128279e-69,2.70842814899537e-68
"p0638",677.042426499927,1.74775345272784,0.147285619621225,11.8664229218205,1.76869598702983e-32,1.18865638604319e-31
"p0639",3724.47350012498,5.93342350778458,0.109088867461407,54.3907334071801,0,0
"p0640",569.317497185473,2.35461414395452,0.146015049192897,16.1258319397194,1.67981635341978e-58,1.79530372771739e-57
"p0643",257.73154027661,1.57517536580235,0.210869574678033,7.46990346145198,8.02536762791526e-14,3.0877601948404e-13
"p0644",230.703711663331,1.04347741107198,0.217006403313381,4.8085097727051,1.5205959646451e-06,3.79902141167014e-06
"p0651",790.530215822732,1.25130926194839,0.128944321860382,9.70426028765564,2.89166133827075e-22,1.47849395335504e-21
"p0656",1105.23981582629,-3.65370765437323,0.153050352308579,-23.8725857161482,5.90192256668408e-126,1.51384313835447e-124
"p0657",262.639543848091,1.2991695722572,0.232879228945837,5.5787266994059,2.42285563166877e-08,6.99582517286725e-08
"p0662",769.650831505404,1.36348393855233,0.12841218264065,10.6180263469855,2.45700951793635e-26,1.38510536560588e-25
"p0665",716.459026445371,2.60286888160691,0.138117866630022,18.8452728464106,3.21304265397373e-79,4.66497419289204e-78
"p0666",2056.29868433404,1.51747352460649,0.0923672864050229,16.4286901095318,1.19206169279215e-60,1.3294079313095e-59
"p0670",381.64125946303,1.17730665723898,0.191432299418747,6.14998963504949,7.74880106527237e-10,2.41894621489943e-09
"p0672",297.197383458371,-1.50282014089206,0.230994850014932,-6.50585993927965,7.72501770135416e-11,2.52416183490107e-10
"p0673",340.295582216558,-1.35072632739129,0.203347870418515,-6.6424414704286,3.08529197696401e-11,1.02333283460078e-10
"p0677",694.862100134525,-1.64987116651133,0.154961124918643,-10.647000448516,1.80074163941431e-26,1.02642273446615e-25
"p0679",166.618795305531,1.06275246986781,0.254832646802715,4.17039371996384,3.04073840435834e-05,6.81178515910841e-05
"p0680",334.545586312139,-1.00914488182513,0.190563074312295,-5.29559509609582,1.18629437752445e-07,3.24281891120804e-07
"p0684",355.3659135335,2.03287359909337,0.181682132381684,11.1891773420109,4.60687947167212e-29,2.84738454092505e-28
"p0685",5254.79199050096,4.19933701700188,0.0878252718581346,47.8146771214682,0,0
"p0689",208.287514508093,-1.15489415013843,0.24689722160996,-4.67763121272743,2.90207872165506e-06,7.1232841349715e-06
"p0693",1341.01239150864,-1.61228052824768,0.116489829449196,-13.8405261289428,1.45140356357907e-43,1.24788272868614e-42
"p0696",852.653670775762,1.17671064092843,0.131415378766508,8.95413194386597,3.42419119147878e-19,1.62649081595242e-18
"p0697",2228.51787399145,-1.19438152767245,0.09704011565722,-12.308121435999,8.19074928387218e-35,5.97420054401862e-34
"p0701",281.953923817736,-1.66077815680916,0.22884637653708,-7.25717479970704,3.95258786035632e-13,1.46933157417594e-12
"p0702",235.325714434034,1.42197801636765,0.212102646512971,6.70419742396138,2.02516312235232e-11,6.79025282200483e-11
"p0704",881.345286666656,-1.53854458767661,0.132938540555899,-11.5733524773403,5.62412890450113e-31,3.66759931526578e-30
"p0707",218.446755195887,1.20167383156166,0.220068117384684,5.46046308680465,4.74894225880467e-08,1.33612836129806e-07
"p0710",208.104093039283,-1.37208148729228,0.243671155596913,-5.6308736416961,1.79299055771847e-08,5.23544431960156e-08
"p0714",993.060928825047,1.34380008589745,0.12058746827167,11.1437789113378,7.67903717138178e-29,4.70838175567991e-28
"p0716",2132.32143518794,4.88639577210663,0.112034849259934,43.6149627047708,0,0
"p0724",451.124416989711,-2.14392794775878,0.185002786951694,-11.5886251395693,4.70626097373148e-31,3.0952716404157e-30
"p0727",2400.70452975794,5.22322070811742,0.106949839017199,48.8380417971217,0,0
"p0730",779.535328980123,2.83522716369107,0.134196484022439,21.1274325429942,4.4510041248578e-99,8.89622772487813e-98
"p0732",365.766529703952,-1.52540121094598,0.190267278113332,-8.01714948608963,1.08227377735403e-15,4.58848303952578e-15
"p0735",1292.12587034433,2.28791657220821,0.106693886068505,21.4437458088199,5.22353797641389e-102,1.07186999276013e-100
"p0740",1147.03943384666,1.79590880280354,0.10925893767381,16.4371797954431,1.03630447731197e-60,1.16414057706798e-59
"p0741",263.168374544282,-1.01252579677293,0.215616952766876,-4.69594706622009,2.6537426338752e-06,6.54504793835567e-06
