"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"p1288",680.992557869797,0.456307062844695,0.146423153168288,3.11635866986316,0.00183099423450302,0.00330351714759689
"p1289",214.722591404926,0.0584605153379591,0.223550783356491,0.261508881607154,0.793700101228788,0.827577544573919
"p1290",201.883444439856,1.2518663347454,0.229190958339023,5.46211047686105,4.70507105102229e-08,1.32620958745848e-07
"p1291",484.067245694091,-1.21887396627842,0.170117107245066,-7.16491119568908,7.78369942174341e-13,2.86581660527826e-12
"p1292",2199.07246799607,-0.17674691297074,0.0924024586042686,-1.91279448231668,0.0557743678119996,0.0795521335149837
"p1293",583.637766335362,-1.54987451789548,0.154343592654414,-10.041715961386,9.99205903208191e-24,5.30268236219795e-23
"p1294",137.555143392689,0.76909020328539,0.32443880283524,2.37052472319705,0.0177628559169954,0.0274744072927195
"p1295",159.458867101335,1.24640631558913,0.252565920795703,4.93497425013778,8.01613350444587e-07,2.06647059687474e-06
"p1296",216.381658019808,0.648940766948328,0.219731599692009,2.9533338302635,0.00314361803709029,0.00549151890928713
"p1297",596.738530524056,-0.766846340246786,0.151228265425951,-5.07078711831335,3.96173730609625e-07,1.04581710361615e-06
"p1298",210.814242738897,1.51851073478873,0.277906646475207,5.46410369830505,4.65251518139631e-08,1.31380199342549e-07
"p1299",134.312117407201,0.186999263227844,0.274357134484923,0.681590670419108,0.495497815905265,0.558251199618011
"p1300",426.918235266144,-1.54469467117538,0.180032598032351,-8.58008320747449,9.48045370275195e-18,4.29129948486331e-17
"p1301",2736.92178546191,0.654908671206323,0.084527759864809,7.74785315798932,9.34591250540968e-15,3.78509456469092e-14
"p1302",291.892826694386,0.3684483760178,0.199329160784946,1.8484419167114,0.0645384396149728,0.0908734296133972
"p1303",297.018713425457,-1.03190885474945,0.207332824726425,-4.97706456327431,6.45557937010652e-07,1.68107219130185e-06
"p1304",1684.08300310559,0.926784281482659,0.113206193546402,8.1866923747664,2.68503325402459e-16,1.15104907463617e-15
"p1305",845.502476024985,0.455281062101887,0.122421030208581,3.71897754271614,0.000200030833041226,0.000410463269400595
"p1306",5041.77993685956,0.161725697573066,0.0813192181255728,1.98877585521457,0.0467259489518404,0.0674589450627414
"p1307",317.413890731919,-1.84338928967048,0.238397664966885,-7.73241336036801,1.05526637515751e-14,4.24035235343972e-14
"p1308",208.10485315548,-0.0107446293312794,0.228749021413935,-0.0469712581276419,0.962536134926649,0.970161447158666
"p1309",251.733515091578,0.764623953553194,0.238714254054271,3.2030929890737,0.00135960072569883,0.00250290133594558
"p1310",410.035663638131,-1.65956913495623,0.186077723901356,-8.91868784807366,4.71845255418411e-19,2.22070289935454e-18
"p1311",2191.13899748287,-3.45164735893722,0.113621368307222,-30.3785054727055,1.0563125083284e-202,4.92625742520427e-201
"p1312",490.369065863924,-0.0187660527861362,0.153818380960229,-0.122001367255246,0.902897935447645,0.923295629670382
"p1313",581.665936649603,-0.549888558032636,0.156784356975959,-3.5072922365396,0.000452691700800841,0.000885250987970133
"p1314",157.180621680582,0.932065379813734,0.265297938182221,3.51327788749546,0.000442614300551515,0.000869966039015046
"p1315",496.094793022518,-0.886141963300375,0.181165032557135,-4.89135210472201,1.00145628548993e-06,2.55172387975e-06
"p1316",2040.21174241985,-0.993760034068146,0.0944872563455997,-10.5173975042024,7.18302484284832e-26,4.00531711345781e-25
"p1317",118.998678658681,-0.161489797467646,0.315695050588433,-0.511537311613346,0.60897486876833,0.663734452341765
"p1318",164.700600594749,-0.836328886670895,0.265106812206517,-3.15468651940713,0.00160670640061783,0.0029332397989927
"p1319",210.402576838434,1.00526171789015,0.224180219291794,4.48416778726447,7.31990492560727e-06,1.7492754162282e-05
"p1320",599.129917835335,-0.563756715942477,0.154384632378922,-3.651637518939,0.000260573503623507,0.000527661344837601
"p1321",161.987168114708,0.376598598907254,0.252401217147105,1.49206332348137,0.135682545621273,0.178627406083096
"p1322",290.016366842982,-0.741092947043983,0.198233506178895,-3.73848478659903,0.000185132693632231,0.000381929243297591
"p1323",285.125472216811,0.762839971360936,0.192048188915251,3.97212791055046,7.12334505564e-05,0.000152261500564305
"p1324",174.140874427761,-0.177296855800998,0.247657585821559,-0.715895114671525,0.47405611524212,0.538032714865503
"p1325",4453.24720427392,4.19529812126231,0.0903543205826736,46.4316271121051,0,0
"p1326",188.958325722861,-0.904312618181255,0.246017880401828,-3.67580037964808,0.000237104874221894,0.000482677779665998
"p1327",455.804619961497,0.936017510849683,0.157214844830212,5.95374763662144,2.62070817128866e-09,8.00251959447073e-09
"p1328",294.892287253889,-0.541242230556104,0.195415387260953,-2.76970118956571,0.00561077404181738,0.00943713797853219
"p1329",134.547861667896,-0.233607843548399,0.284609718302432,-0.820800656217096,0.411759824755124,0.477542102711481
"p1330",296.829054206069,-0.670226007808494,0.200869756164851,-3.33661981079147,0.000848038678818092,0.00160730483583872
"p1331",492.272672646321,0.265944032263762,0.176632055328117,1.50563855337434,0.132159985783612,0.174437579863619
"p1332",225.603830633239,0.313705227388803,0.234905001292676,1.33545571896082,0.181727238843305,0.232677388169589
"p1333",2026.83992235072,-1.74254440979541,0.101124752874808,-17.2316308347639,1.537545883412e-66,1.83432799579153e-65
"p1334",179.908198719131,-0.32967702701269,0.257829706662504,-1.27866191712436,0.201016135875338,0.253784932823745
"p1335",1235.4597179666,-1.02561199883591,0.11213275085283,-9.14640897539369,5.88575352624662e-20,2.83067958652923e-19
"p1336",8145.31805289903,-2.2999728471066,0.0762219875352987,-30.174663787683,5.09348354096753e-200,2.30555034398501e-198
"p1337",198.396906748961,-0.786826625979787,0.253539101517006,-3.10337388304979,0.0019132776143028,0.00343586260024739
"p1338",1953.47341777804,-2.00184325247521,0.103641895768163,-19.3150003445822,4.01728964627443e-83,6.37382346970757e-82
"p1339",353.925967721103,0.106500720986116,0.178113687902961,0.597936757359935,0.549882132410105,0.607519229801035
"p1340",2815.90270432532,0.552495881513881,0.0840091806359736,6.57661314312708,4.8128480525794e-11,1.58268657113669e-10
"p1341",316.126832067475,2.12115735565457,0.188020309657466,11.2815331467057,1.61899512075682e-29,1.00875849831771e-28
"p1342",158.055207675624,0.677744695386791,0.277149524789347,2.44541171738225,0.0144686866233852,0.0226293787737701
"p1343",445.155468444001,-2.20250356680285,0.183924875262822,-11.9750173197375,4.80337290044823e-33,3.30017450615617e-32
"p1344",605.225951395581,1.05628058238728,0.14147001605818,7.46646258916713,8.23793800728834e-14,3.16164254194932e-13
"p1345",542.597667632166,-0.16519769911418,0.148343925284451,-1.11361283448184,0.265445317975511,0.325514218616981
"p1346",146.802674401859,-0.356723827822926,0.280485791654145,-1.27180712334544,0.203441657397252,0.256007122432029
"p1347",146.949814536903,0.714532513378488,0.276850645191764,2.58093136421466,0.0098534169752907,0.0157962590885129
"p1348",428.443331059111,1.2061224900376,0.16532880149938,7.29529567201343,2.98003911820661e-13,1.11588326105109e-12
"p1349",3381.88384249287,-4.8589814746147,0.125169870406694,-38.8190980691058,0,0
"p1350",375.981984230164,-1.06491151454086,0.190316780711635,-5.59546830583687,2.20027041961002e-08,6.37897644265132e-08
"p1351",288.701036583802,-0.657589266487424,0.207983033317112,-3.16174476350096,0.00156826958099018,0.00286646898473145
"p1352",223.336648325841,1.62580527379901,0.216500346274896,7.50948117068912,5.93621559263577e-14,2.30702924168345e-13
"p1353",420.52428340547,0.431587720226795,0.168322473686904,2.56405286099579,0.0103457786640999,0.0165339079585147
"p1354",573.627774225325,-0.285184578084868,0.149710556046561,-1.90490627792588,0.0567922550494556,0.0806303325840518
"p1355",139.664927779113,0.293138735598751,0.286538924068093,1.02303286212204,0.306292308446234,0.370293686330521
"p1356",445.95974126443,-2.18172529684904,0.185119769283296,-11.7854797750437,4.63771721153057e-32,3.08980380456517e-31
"p1357",1187.65336562092,-0.0748883871494143,0.10976672272324,-0.682250369615518,0.495080649661707,0.558189831376826
"p1358",838.168453561849,-1.38550635681238,0.136933118796164,-10.1181245924503,4.59128442174809e-24,2.47062472904556e-23
"p1359",167.379044991589,-0.137517213550994,0.261042290170253,-0.52680051749969,0.598332123506068,0.654010286070262
"p1360",8996.21776449632,7.0700513090351,0.102043635603027,69.2845885709051,0,0
"p1361",300.070848934764,-0.265960873774494,0.211472323179095,-1.25766279849895,0.208513731651816,0.261534338233207
"p1362",258.794252060811,1.36141746908919,0.226314906245546,6.01558903774585,1.79233753075966e-09,5.52787066100023e-09
"p1363",7045.85147866092,-1.24921734910878,0.0713238709963707,-17.5147160643082,1.10636564083602e-68,1.351346604164e-67
"p1364",200.698222560616,-0.199128828065289,0.249728946846936,-0.797379841542116,0.425230463123011,0.489453132567773
"p1365",757.956622876948,-0.674006456162487,0.132218784486568,-5.09766035726155,3.43877084421979e-07,9.14035980872929e-07
"p1366",523.956859664753,0.453664254182687,0.171966602109623,2.63809512206034,0.00833731919053636,0.0135635668438007
"p1367",422.385051859288,-1.41248056492894,0.181189023630545,-7.79561883289946,6.40935877573455e-15,2.62340509464241e-14
"p1368",156.551280138567,0.344737453929008,0.261834029289054,1.31662585976719,0.18796406627275,0.239071651234514
"p1369",372.855537810075,2.4633653843092,0.182367117260757,13.5077278256637,1.40800308552418e-41,1.15877900995814e-40
"p1370",264.678838269257,0.77242439045268,0.223642130582863,3.45384113646012,0.000552662831130862,0.00107528204438735
"p1371",179.874326264474,0.345346570668269,0.256334106777328,1.34725173723474,0.177899170185146,0.228345974074178
"p1372",356.851410831754,0.492044098452623,0.174665851870492,2.81705950638511,0.00484655452360934,0.00823071358774073
"p1373",510.055624162728,0.222914671648485,0.1520303048321,1.46625156013907,0.142579766676819,0.186431827455926
"p1374",218.241025644078,0.532559197488954,0.24378081790707,2.18458204407193,0.0289195056674867,0.0431688838237265
"p1375",222.102490812928,0.0680191424729534,0.22663367565159,0.300128135315253,0.764079419004966,0.802674556893271
"p1376",204.977155920527,-0.202718093302317,0.23300935864312,-0.869999790921717,0.384300518466356,0.450105401765389
"p1377",245.524282419377,0.621401896733661,0.212630955019397,2.92244323822453,0.00347296917099838,0.00601903102946678
"p1378",641.25268427524,1.0464615283251,0.148358546241778,7.05359788724066,1.7434975415198e-12,6.31351227387993e-12
"p1379",297.716555090989,-0.0672676874856777,0.190714941949082,-0.35271325255489,0.724303423027023,0.767701768621617
"p1380",217.000947320738,-0.675428761240257,0.234616373658154,-2.87886455113481,0.00399109707992994,0.00686290324694098
"p1381",354.389734145926,-0.145604999395083,0.177717765331132,-0.819304694293138,0.412612594971279,0.478170770828914
"p1382",354.340990254998,-0.416608649418144,0.179981091383338,-2.31473565481841,0.0206274032320944,0.0314312609645479
"p1383",1091.49035296463,0.227722475334774,0.129301930522804,1.76116840958235,0.0782099031483297,0.108632708434368
"p1384",9484.41276915426,-2.61757706482564,0.073471651669935,-35.6270344456782,5.34510805152392e-278,3.42755053803971e-276
"p1385",849.947610881618,0.581159415143918,0.122693501724921,4.73667640888494,2.17251635852682e-06,5.38406227982733e-06
"p1386",12363.6793808439,-0.055499456347327,0.0793557740646021,-0.699375149464813,0.484317613849048,0.548062358613004
"p1387",9471.53107791658,0.673236583777804,0.0698628933057929,9.63654025651382,5.60450931455277e-22,2.83728284049234e-21
"p1388",223.42157824782,-0.00327853310019495,0.222204806377864,-0.0147545552845501,0.988227995259988,0.988595202132907
"p1389",440.955497590041,1.36968818660445,0.159797781989767,8.57138421791213,1.02248485189891e-17,4.60118183354508e-17
