"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"p0034",15773.3144579073,0.262630126713433,0.0335468751116779,7.82875084010459,4.92741045753736e-15,1.08335531292431e-14
"p0035",3617.26675555646,0.395272432022209,0.0577702859373871,6.84214082739031,7.8018332827462e-12,1.5041372274844e-11
"p0036",26516.4828333825,0.277380199923908,0.0216436767626415,12.8157615254487,1.3381807752765e-37,6.00777662746512e-37
"p0037",5001.73757690947,0.473344395877724,0.0473886256438094,9.98856559874846,1.71038768975573e-23,5.46302933742875e-23
"p0038",23103.9192218041,0.340672387633111,0.0234120213557216,14.5511736238809,5.74095860833357e-48,3.12347070046623e-47
"p0039",4911.24697118953,-0.165156574534696,0.0529598931341287,-3.11852167292733,0.00181760773661861,0.0023291500337508
"p0040",6449.36081409343,-0.00328299345629561,0.0410496012012349,-0.0799762570213923,0.936256139621607,0.942126084070646
"p0041",8597.21503420658,-0.453434852980485,0.035752053324435,-12.68276394829,7.36868608412807e-37,3.2625492869036e-36
"p0042",9581.19684039024,-0.56408411803059,0.0355763413435727,-15.8555966332524,1.28600446029963e-56,7.93860445684963e-56
"p0043",12456.8556585211,0.136001610447175,0.0306145065641532,4.44239106588837,8.89646770465222e-06,1.29220187022324e-05
"p0044",7174.07000770268,0.501137784938441,0.038872776848833,12.8917413563545,5.00996363493328e-38,2.28113237845898e-37
"p0045",5475.88195890996,0.0408616298648276,0.0437183887491257,0.934655439826675,0.349965898028203,0.376345237075555
"p0046",11785.1997340722,0.0754253287372131,0.0332543508653476,2.2681341470962,0.0233210316704361,0.0276748656791497
"p0047",4628.76857502345,-1.07226364790034,0.0531195988841538,-20.1858385685253,1.30396165878522e-90,1.23109321314722e-89
"p0048",6523.85024586366,-0.306007725592767,0.0452945818814835,-6.75594547695479,1.41906779999518e-11,2.68743813450415e-11
"p0049",5466.88681932367,-0.015792846763101,0.0438730689480398,-0.359966766441731,0.718871986472466,0.73960867838994
"p0050",1919.3748265919,-0.119927248332147,0.0756273749437181,-1.58576505427297,0.112792615697405,0.126595907828207
"p0051",2176.83124074861,0.581212856060921,0.080216643620486,7.24553945202077,4.30721375019262e-13,8.80646887778237e-13
"p0052",19645.0072131062,-0.417523840458092,0.0294645985189939,-14.1703556622006,1.39790726786472e-45,7.35620054073073e-45
"p0053",7327.31216259615,-0.234041629906319,0.0380819702947475,-6.14573321954928,7.95949671278523e-10,1.39999914783784e-09
"p0054",17019.2710001859,-0.614095207556203,0.0300259313263611,-20.4521618624053,5.74709622802314e-93,5.59035723998614e-92
"p0055",6862.61303716512,-0.19454760837747,0.0396988548214674,-4.90058489728191,9.55517554881245e-07,1.44000532918723e-06
"p0056",6349.28972280715,0.168409544871095,0.0413004363333247,4.07766987040784,4.54892933657811e-05,6.47541604009567e-05
"p0057",4465.70925851503,-3.22352336363411,0.0624416830848511,-51.6245431637983,0,0
"p0058",13349.6484783059,0.236552988672086,0.0312824959942339,7.5618323012233,3.97430574080976e-14,8.36558782163891e-14
"p0059",15435.3671664486,0.184659820183011,0.0272500846354502,6.77648611567183,1.23133888390457e-11,2.34575538120693e-11
"p0060",6757.74120010729,0.260625741088309,0.0434067986220201,6.00426083844144,1.92205496584236e-09,3.29935638521604e-09
"p0061",6682.77031725503,-0.127538116638171,0.0419437148686741,-3.04069672983171,0.00236031439095172,0.00299470719168182
"p0062",11406.9517215973,-0.22124684013264,0.0356138129050622,-6.21238845507587,5.21852237145473e-10,9.25494851512138e-10
"p0063",6576.66659627094,-0.0683703366157398,0.0435631331619834,-1.56945406937362,0.116542173777384,0.130348563702231
"p0064",32741.3169217175,-0.359310295534372,0.0202604580184593,-17.7345593671676,2.26867809159308e-70,1.73391825571757e-69
"p0065",12384.0890854387,-0.239896283100214,0.0329773127309542,-7.27458556303269,3.47485575322144e-13,7.15018395374412e-13
"p0066",24408.6165339074,0.199898268814032,0.0225157956619423,8.87813479103087,6.79908179457744e-19,1.77439451712143e-18
"p0067",7455.46999506845,-0.116420349518736,0.038106500854362,-3.05513093326724,0.00224962287958973,0.0028599166112804
"p0068",27507.7735300773,-0.0333727356313359,0.0230827744955018,-1.44578528191398,0.14823743550519,0.164083506197124
"p0069",6390.92050300048,0.61420899974487,0.0412797102008171,14.8791984429365,4.49856737552888e-50,2.55582323459251e-49
"p0070",6960.54068561691,0.189540024691034,0.0400134102072189,4.73691254280643,2.16998754019538e-06,3.2473939412714e-06
"p0071",11498.6865667333,-0.0100703306205129,0.0325085126885908,-0.309775187717128,0.756731921421524,0.77237184984518
"p0072",11193.5822876315,0.0681352319534498,0.0375314215265885,1.81541836631955,0.0694596407121602,0.0797729684028745
"p0073",17002.7470133371,0.0993736961252982,0.0265195819766896,3.74718184519825,0.000178832444447411,0.00024584674375854
"p0074",1810.01263712025,0.469101877121268,0.07801310046133,6.01311669895488,1.81989924959573e-09,3.14925961789881e-09
"p0075",57495.9773298871,0.0495252413730123,0.017249045797598,2.87118730822252,0.00408933135703841,0.00511764275091357
"p0076",5610.32742610828,0.310795308581306,0.0457746792057401,6.78967748052143,1.1238449851274e-11,2.14734666801128e-11
"p0077",18535.3773328802,0.298849147579077,0.0251265967256646,11.8937375738526,1.27567387918145e-32,5.24988865663136e-32
"p0078",26575.1577772555,0.118497599008242,0.0237252789423105,4.99457137243261,5.89665819618425e-07,8.97074540746514e-07
"p0079",2625.48072934905,0.206566207776934,0.0704967541726758,2.93015203609186,0.0033879619692465,0.0042481866880005
"p0080",5217.46536941097,0.0465840576889903,0.0520332847009389,0.895274206822268,0.370640524873158,0.397911734061149
"p0081",2943.91623554959,0.660862562235429,0.0593305987242386,11.1386464395385,8.13462518358992e-29,2.89032635851319e-28
